Ext.1(Strain)	Stress	
%	        N/mm2
0	        3.522054
0.001042763	3.522054
-0.000756844	3.522054
0.003473074	3.755166
0.000311147	3.754648
0.000437288	3.760864
0.000311147	3.756202
-0.000428878	3.757756
0.000168188	3.791428
0.001925748	3.938547
0.00136232	4.169068
0.000647522	4.423419
0.001345501	4.675696
0.002640545	4.862704
0.001337091	5.031062
0.000386832	5.19683
-0.000260691	5.358454
-0.000370013	5.499875
0.000824119	5.602962
0.002665773	5.673932
0.00326284	5.72677
0.00027751	5.794114
0.001648239	5.824677
0.002009842	5.861975
0.003229202	5.882696
0.002009842	5.931908
0.000470925	5.924656
0.000941851	5.984229
0.000437288	5.97076
0.002421902	6.001842
0.001118448	6.035513
-0.00067275	6.072293
0.003094652	6.087316
0.002413492	6.111145
0.004625159	6.145853
0.002926464	6.186258
0.003817859	6.214232
0.002674183	6.255156
0.001824835	6.302814
0.000327966	6.325089
0.001808017	6.366014
-0.000613885	6.398131
0.001555735	6.442681
0.001858473	6.487232
0.001715513	6.529709
0.00068116	6.568561
-0.000176597	6.587729
0.000655932	6.631242
-0.000210235	6.674757
0.000740026	6.696514
0.000647522	6.801155
-0.00027751	6.931179
0.000798891	7.074672
0.002405083	7.196408
0.00109322	7.323842
0.0005382	7.453867
0.000437288	7.595806
0.001715513	7.775043
0.003843087	7.914391
0.004171052	8.110205
0.005911794	8.264059
0.005651103	8.45521
0.005768835	8.649987
0.004650387	8.849427
0.007089107	9.144702
0.007980501	9.540991
0.007240477	9.96629
0.005575419	10.37864
0.00651727	10.77907
0.007517986	11.17692
0.007543214	11.51104
0.008367333	11.99747
0.00814028	12.6595
0.008014139	13.38785
0.0103099	14.11308
0.01095742	14.85023
0.01326159	15.60137
0.01327	16.41415
0.01140312	17.22486
0.01348865	18.04749
0.01790357	18.93227
0.0169449	19.81033
0.01610396	20.67336
0.0169449	21.5944
0.01944249	22.488
0.0198125	23.41423
0.01886224	24.33579
0.01894633	25.27446
0.02325194	26.21001
0.02353786	27.14297
0.02385741	28.11479
0.02289874	29.08142
0.02446289	30.05169
0.02619522	31.02454
0.02602703	32.01189
0.02237736	32.99044
0.02424424	33.98971
0.02616158	34.99054
0.02784346	36.02452
0.02773413	37.0269
0.02923101	38.05725
0.03044195	39.05911
0.0313754	40.0962
0.02982807	41.12862
0.03163609	42.15846
0.02918896	43.18
0.03078674	44.2202
0.03274613	45.24434
0.03288068	46.25034
0.03383094	47.30349
0.03220792	48.29084
0.03464665	49.30928
0.03491575	50.31373
0.03501666	51.32232
0.03510075	52.29725
0.04003706	53.24938
0.03930544	54.22586
0.03730401	55.15882
0.03846451	56.11406
0.04155075	56.97657
0.03875883	57.85618
0.04167689	58.69382
0.04075186	59.51075
0.04189553	60.29711
0.04186189	61.03478
0.04206372	61.77504
0.04334195	62.52411
0.04135733	63.24364
0.04278693	63.95593
0.04360264	64.65785
0.0449145	65.35356
0.04729435	66.04098
0.04830348	66.63464
0.04849689	67.12831
0.04708412	67.53134
0.04664683	68.01206
0.0466216	68.55858
0.0459068	69.13566
0.04730276	69.69099
0.04747936	70.25874
0.04906873	70.83737
0.04842121	71.38182
0.04959011	71.94492
0.04959852	72.4505
0.04887532	72.99909
0.051457	73.51401
0.04932101	73.98646
0.05212975	74.51897
0.05430778	75.0023
0.05619989	75.52187
0.05789858	75.9995
0.05312205	76.50406
0.05220543	76.96458
0.05261749	77.45878
0.05302114	77.91516
0.05303796	78.41764
0.05192792	78.86056
0.05287818	79.32574
0.05446756	79.79403
0.05318933	80.24316
0.05378639	80.68763
0.05651944	81.15178
0.06014389	81.57603
0.05143177	82.04123
0.05524122	82.48155
0.05483757	82.90115
0.05431619	83.34354
0.05933659	83.79578
0.05841156	84.22936
0.05921045	84.67072
0.06054754	85.10587
0.05790699	85.53997
0.05511508	85.94714
0.05684741	86.35741
0.05841996	86.77287
0.05901702	87.20646
0.05929454	87.62761
0.05762948	88.01509
0.06004297	88.45075
0.05850405	88.83306
0.06206122	89.26302
0.06253215	89.67226
0.06251533	90.07943
0.0612287	90.4954
0.06127915	90.89739
0.05980751	91.29472
0.06344877	91.70447
0.06286012	92.11578
0.06136324	92.50793
0.06191827	92.93219
0.06314603	93.32641
0.06381038	93.70612
0.06287693	94.08583
0.06343196	94.48161
0.06549225	94.87479
0.06527361	95.26331
0.07067243	95.65131
0.06702276	96.04346
0.06724981	96.41851
0.06793097	96.79977
0.06642569	97.19192
0.0629358	97.5882
0.06259942	97.94772
0.06518111	98.34245
0.06878873	98.7118
0.06636683	99.12208
0.06450836	99.4966
0.06423084	99.8815
0.06153144	100.2364
0.06459245	100.6409
0.06821689	101.0258
0.06808234	101.3921
0.06897373	101.7578
0.06789733	102.138
0.07077335	102.512
0.06890646	102.8959
0.06436539	103.2725
0.06837667	103.6356
0.07036969	104.0107
0.07134518	104.3723
0.07096676	104.7603
0.069924	105.1431
0.07148814	105.5104
0.07113495	105.8725
0.07089107	106.2631
0.07276636	106.6252
0.07338025	106.9826
0.07300183	107.3333
0.07592829	107.7203
0.07519668	108.0813
0.07515463	108.4471
0.07399414	108.7884
0.07613012	109.1702
0.07686173	109.5463
0.07561715	109.8758
0.07450711	110.2591
0.07600398	110.616
0.07650854	110.9885
0.07513782	111.3547
0.07726538	111.7184
0.07867816	112.0556
0.07852679	112.4307
0.07856884	112.798
0.07847634	113.1373
0.07969569	113.4968
0.08030117	113.8444
0.08098233	114.1961
0.08099074	114.552
0.08062072	114.9048
0.07925	115.2524
0.07870339	115.6051
0.08151212	115.9398
0.0812262	116.3138
0.08215123	116.6671
0.081756	117.0105
0.07965365	117.3763
0.08018344	117.6959
0.08183168	118.0678
0.08236988	118.4206
0.08353878	118.7646
0.08304263	119.1028
0.08420312	119.4597
0.08411903	119.7892
0.08559908	120.1171
0.08330332	120.4549
0.08469928	120.8082
0.0852627	121.1454
0.08667548	121.4868
0.08613728	121.8313
0.08707072	122.1732
0.08538885	122.5171
0.0865998	122.8487
0.08590182	123.2097
0.08722209	123.5485
0.08862645	123.8645
0.08934966	124.2188
0.08831531	124.5514
0.08860964	124.8783
0.0854393	125.2399
0.08822281	125.5574
0.09140155	125.9112
0.09160338	126.235
0.09206589	126.5572
0.08998036	126.8924
0.09068675	127.2348
0.09052698	127.5508
0.09266296	127.8751
0.09233499	128.217
0.09218363	128.5278
0.09421869	128.8935
0.09132587	129.1955
0.09074562	129.5395
0.09281433	129.8679
0.09152769	130.1948
0.09381504	130.5357
0.09422711	130.8475
0.09286478	131.1563
0.09461393	131.5007
0.09617808	131.8147
0.09703584	132.1203
